-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:04.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=933.169, Ver_Cur=2038, Hor_Cur=137} 
[11:09:05.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=924.403, Ver_Cur=2167, Hor_Cur=144} 
[11:09:05.163] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=915.506, Ver_Cur=1875, Hor_Cur=145} 
[11:09:05.263] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=906.675, Ver_Cur=1664, Hor_Cur=139} 
[11:09:05.347] [LOG]current:30, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:05.363] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=898.367, Ver_Cur=1517, Hor_Cur=149} 
[11:09:05.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=890.125, Ver_Cur=1470, Hor_Cur=144} 
[11:09:05.563] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=882.013, Ver_Cur=1277, Hor_Cur=140} 
[11:09:05.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=874.032, Ver_Cur=1310, Hor_Cur=141} 
[11:09:05.763] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=865.855, Ver_Cur=1322, Hor_Cur=142} 
[11:09:05.863] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=857.155, Ver_Cur=1524, Hor_Cur=142} 
[11:09:05.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=848.389, Ver_Cur=1678, Hor_Cur=143} 
[11:09:06.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=839.623, Ver_Cur=1775, Hor_Cur=145} 
[11:09:06.163] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=831.250, Ver_Cur=1826, Hor_Cur=141} 
[11:09:06.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-78.500, Ver_act_Pos=823.269, Ver_Cur=1859, Hor_Cur=140} 
[11:09:06.367] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=815.288, Ver_Cur=2080, Hor_Cur=138} [LOG]current:140, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:06.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=807.242, Ver_Cur=2235, Hor_Cur=143} 
[11:09:06.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=799.065, Ver_Cur=2169, Hor_Cur=134} 
[11:09:06.663] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=790.495, Ver_Cur=2202, Hor_Cur=138} 
[11:09:06.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=781.402, Ver_Cur=2226, Hor_Cur=137} 
[11:09:06.863] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=772.767, Ver_Cur=1838, Hor_Cur=139} 
[11:09:06.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=763.870, Ver_Cur=1503, Hor_Cur=141} 
[11:09:07.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=755.235, Ver_Cur=1433, Hor_Cur=136} 
[11:09:07.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=746.862, Ver_Cur=1282, Hor_Cur=146} 
[11:09:07.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=738.358, Ver_Cur=1205, Hor_Cur=136} 
[11:09:07.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=729.788, Ver_Cur=1271, Hor_Cur=138} 
[11:09:07.380] [LOG]current:90, voltage:29350, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:07.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-86.677, Ver_act_Pos=721.153, Ver_Cur=1436, Hor_Cur=145} 
[11:09:07.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=711.995, Ver_Cur=1539, Hor_Cur=139} 
[11:09:07.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-94.854, Ver_act_Pos=702.510, Ver_Cur=1916, Hor_Cur=139} 
[11:09:07.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-94.854, Ver_act_Pos=693.286, Ver_Cur=2023, Hor_Cur=135} 
[11:09:07.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-86.677, Ver_act_Pos=684.455, Ver_Cur=1950, Hor_Cur=144} 
[11:09:07.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=675.820, Ver_Cur=2246, Hor_Cur=142} 
[11:09:08.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=667.185, Ver_Cur=2349, Hor_Cur=141} 
[11:09:08.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=658.484, Ver_Cur=2324, Hor_Cur=130} 
[11:09:08.263] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=649.391, Ver_Cur=2349, Hor_Cur=141} 
