-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-36-06.txt
-----------------------------------
[11:36:06.075] {Hor_act_Vel=99.658, Hor_act_Pos=-44.487, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=1365} 
[11:36:06.174] {Hor_act_Vel=99.658, Hor_act_Pos=-34.601, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=1467} 
[11:36:06.275] {Hor_act_Vel=103.645, Hor_act_Pos=-24.237, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=1256} 
[11:36:06.375] {Hor_act_Vel=95.672, Hor_act_Pos=-14.670, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=1215} 
[11:36:06.474] {Hor_act_Vel=99.658, Hor_act_Pos=-4.784, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=1461} 
[11:36:06.574] {Hor_act_Vel=99.658, Hor_act_Pos=4.943, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=1240} 
[11:36:06.674] {Hor_act_Vel=99.658, Hor_act_Pos=15.308, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1348} 
[11:36:06.774] {Hor_act_Vel=99.658, Hor_act_Pos=25.194, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=1322} 
[11:36:06.874] {Hor_act_Vel=103.645, Hor_act_Pos=35.239, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=1327} 
[11:36:06.975] {Hor_act_Vel=103.645, Hor_act_Pos=45.285, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=1482} 
[11:36:07.057] [LOG]current:140, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:07.074] {Hor_act_Vel=99.658, Hor_act_Pos=55.330, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1242} 
[11:36:07.174] {Hor_act_Vel=99.658, Hor_act_Pos=65.216, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1462} 
[11:36:07.274] {Hor_act_Vel=103.645, Hor_act_Pos=75.262, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=1306} 
[11:36:07.375] {Hor_act_Vel=103.645, Hor_act_Pos=85.307, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=1238} 
[11:36:07.475] {Hor_act_Vel=99.658, Hor_act_Pos=95.672, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=895} 
[11:36:07.574] {Hor_act_Vel=-19.932, Hor_act_Pos=100.615, Ver_act_Vel=1.635, Ver_act_Pos=-0.065, Ver_Cur=1665, Hor_Cur=1221} 
[11:36:07.674] {Hor_act_Vel=-19.932, Hor_act_Pos=99.499, Ver_act_Vel=-1.635, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=823} 
[11:36:07.774] {Hor_act_Vel=-39.863, Hor_act_Pos=94.875, Ver_act_Vel=0.000, Ver_act_Pos=-0.065, Ver_Cur=1673, Hor_Cur=185} 
[11:36:07.874] {Hor_act_Vel=15.945, Hor_act_Pos=96.629, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=185} 
[11:36:07.974] {Hor_act_Vel=23.918, Hor_act_Pos=98.223, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=566} 
[11:36:08.078] {Hor_act_Vel=-15.945, Hor_act_Pos=98.861, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1667, Hor_Cur=527} [LOG]current:80, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:08.174] {Hor_act_Vel=-3.986, Hor_act_Pos=97.904, Ver_act_Vel=0.000, Ver_act_Pos=-0.065, Ver_Cur=1658, Hor_Cur=429} 
[11:36:08.274] {Hor_act_Vel=-3.986, Hor_act_Pos=97.426, Ver_act_Vel=0.000, Ver_act_Pos=-0.065, Ver_Cur=1669, Hor_Cur=423} 
[11:36:08.374] {Hor_act_Vel=7.973, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=422} 
[11:36:08.474] {Hor_act_Vel=0.000, Hor_act_Pos=97.904, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=419} 
[11:36:08.574] {Hor_act_Vel=0.000, Hor_act_Pos=97.904, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=422} 
[11:36:08.674] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=423} 
[11:36:08.774] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=420} 
[11:36:08.874] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=420} 
[11:36:08.974] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=426} 
[11:36:09.075] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1680, Hor_Cur=426} 
[11:36:09.090] [LOG]current:50, voltage:29380, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:09.175] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1666, Hor_Cur=425} 
[11:36:09.274] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=424} 
[11:36:09.374] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=426} 
[11:36:09.474] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=423} 
[11:36:09.575] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1667, Hor_Cur=428} 
[11:36:09.674] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=426} 
[11:36:09.777] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=427} 
[11:36:09.874] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=425} 
[11:36:09.977] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=426} 
[11:36:10.074] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=425} 
[11:36:10.104] [LOG]current:10, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:10.179] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=428} 
[11:36:10.274] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=424} 
[11:36:10.375] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1677, Hor_Cur=429} 
[11:36:10.474] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=424} 
[11:36:10.575] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=424} 
[11:36:10.674] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=424} 
[11:36:10.774] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=426} 
[11:36:10.874] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1661, Hor_Cur=425} 
[11:36:10.975] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1679, Hor_Cur=430} 
[11:36:11.074] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=418} 
[11:36:11.121] [LOG]current:20, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
