-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:21.929] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=6.542, Ver_act_Pos=51.287, Ver_Cur=1710, Hor_Cur=0} 
[13:21:22.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=6.542, Ver_act_Pos=52.530, Ver_Cur=1544, Hor_Cur=0} 
[13:21:22.129] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=45.792, Ver_act_Pos=53.642, Ver_Cur=1691, Hor_Cur=0} 
[13:21:22.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=62.146, Ver_act_Pos=60.314, Ver_Cur=1427, Hor_Cur=0} 
[13:21:22.329] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=29.438, Ver_act_Pos=62.146, Ver_Cur=1473, Hor_Cur=0} 
[13:21:22.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=32.708, Ver_act_Pos=64.174, Ver_Cur=1555, Hor_Cur=0} 
[13:21:22.529] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=42.521, Ver_act_Pos=68.360, Ver_Cur=1264, Hor_Cur=0} 
[13:21:22.629] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=60.510, Ver_act_Pos=73.070, Ver_Cur=1344, Hor_Cur=0} 
[13:21:22.729] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=89.948, Ver_act_Pos=81.640, Ver_Cur=1227, Hor_Cur=0} 
[13:21:22.816] [LOG]current:200, voltage:29330, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:22.829] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=70.323, Ver_act_Pos=88.509, Ver_Cur=1389, Hor_Cur=0} 
[13:21:22.929] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=104.667, Ver_act_Pos=95.574, Ver_Cur=1330, Hor_Cur=0} 
[13:21:23.029] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=104.340, Ver_Cur=1526, Hor_Cur=0} 
[13:21:23.129] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=104.470, Ver_Cur=1223, Hor_Cur=0} 
[13:21:23.229] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=19.625, Ver_act_Pos=104.732, Ver_Cur=1639, Hor_Cur=0} 
[13:21:23.329] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=27.802, Ver_act_Pos=107.610, Ver_Cur=1008, Hor_Cur=0} 
[13:21:23.429] {Hor_act_Vel=0.000, Hor_act_Pos=0.319, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1600, Hor_Cur=0} 
