-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-07-04_19-05-40.txt
-----------------------------------
[19:05:40.912] {A=-19.602,B=-9.60195,C=0.398049,D=10.398,E=20.398,F=30.398,G=40.398,H=50.398,I=60.398,J=70.398}
[19:05:40.912] {A=-25.7174,B=-15.7174,C=-5.71743,D=4.28257,E=14.2826,F=24.2826,G=34.2826,H=44.2826,I=54.2826,J=64.2826}
[19:05:40.913] {A=-31.7315,B=-21.7315,C=-11.7315,D=-1.73152,E=8.26848,F=18.2685,G=28.2685,H=38.2685,I=48.2685,J=58.2685}
[19:05:40.918] {A=-37.6205,B=-27.6205,C=-17.6205,D=-7.6205,E=2.3795,F=12.3795,G=22.3795,H=32.3795,I=42.3795,J=52.3795}
[19:05:40.930] {A=-43.3612,B=-33.3612,C=-23.3612,D=-13.3612,E=-3.36117,F=6.63883,G=16.6388,H=26.6388,I=36.6388,J=46.6388}
[19:05:40.944] {A=-48.9309,B=-38.9309,C=-28.9309,D=-18.9309,E=-8.93088,F=1.06912,G=11.0691,H=21.0691,I=31.0691,J=41.0691}
[19:05:40.945] {A=-54.3077,B=-44.3077,C=-34.3077,D=-24.3077,E=-14.3077,F=-4.30768,G=5.69232,H=15.6923,I=25.6923,J=35.6923}
[19:05:40.954] {A=-59.4704,B=-49.4704,C=-39.4704,D=-29.4704,E=-19.4704,F=-9.47037,G=0.529632,H=10.5296,I=20.5296,J=30.5296}
[19:05:40.973] {A=-64.3986,B=-54.3986,C=-44.3986,D=-34.3986,E=-24.3986,F=-14.3986,G=-4.39859,H=5.60141,I=15.6014,J=25.6014}
[19:05:40.974] {A=-69.0729,B=-59.0729,C=-49.0729,D=-39.0729,E=-29.0729,F=-19.0729,G=-9.07292,H=0.927077,I=10.9271,J=20.9271}
[19:05:40.997] {A=-73.4749,B=-63.4749,C=-53.4749,D=-43.4749,E=-33.4749,F=-23.4749,G=-13.4749,H=-3.47493,I=6.52507,J=16.5251}
[19:05:40.998] {A=-77.5873,B=-67.5873,C=-57.5873,D=-47.5873,E=-37.5873,F=-27.5873,G=-17.5873,H=-7.58726,I=2.41274,J=12.4127}
[19:05:41.008] {A=-81.3937,B=-71.3937,C=-61.3937,D=-51.3937,E=-41.3937,F=-31.3937,G=-21.3937,H=-11.3937,I=-1.3937,J=8.6063}
[19:05:41.020] {A=-84.8792,B=-74.8792,C=-64.8792,D=-54.8792,E=-44.8792,F=-34.8792,G=-24.8792,H=-14.8792,I=-4.87924,J=5.12076}
[19:05:41.027] {A=-88.0301,B=-78.0301,C=-68.0301,D=-58.0301,E=-48.0301,F=-38.0301,G=-28.0301,H=-18.0301,I=-8.03013,J=1.96987}
[19:05:41.038] {A=-90.834,B=-80.834,C=-70.834,D=-60.834,E=-50.834,F=-40.834,G=-30.834,H=-20.834,I=-10.834,J=-0.833971}
[19:05:41.054] {A=-93.2797,B=-83.2797,C=-73.2797,D=-63.2797,E=-53.2797,F=-43.2797,G=-33.2797,H=-23.2797,I=-13.2797,J=-3.27969}
[19:05:41.055] {A=-95.3577,B=-85.3577,C=-75.3577,D=-65.3577,E=-55.3577,F=-45.3577,G=-35.3577,H=-25.3577,I=-15.3577,J=-5.35765}
[19:05:41.075] {A=-97.0597,B=-87.0597,C=-77.0597,D=-67.0597,E=-57.0597,F=-47.0597,G=-37.0597,H=-27.0597,I=-17.0597,J=-7.05966}
[19:05:41.076] {A=-98.379,B=-88.379,C=-78.379,D=-68.379,E=-58.379,F=-48.379,G=-38.379,H=-28.379,I=-18.379,J=-8.37901}
[19:05:41.093] {A=-99.3105,B=-89.3105,C=-79.3105,D=-69.3105,E=-59.3105,F=-49.3105,G=-39.3105,H=-29.3105,I=-19.3105,J=-9.31049}
[19:05:41.094] {A=-99.8504,B=-89.8504,C=-79.8504,D=-69.8504,E=-59.8504,F=-49.8504,G=-39.8504,H=-29.8504,I=-19.8504,J=-9.85044}
[19:05:41.103] {A=-99.9967,B=-89.9967,C=-79.9967,D=-69.9967,E=-59.9967,F=-49.9967,G=-39.9967,H=-29.9967,I=-19.9967,J=-9.99672}
[19:05:41.114] {A=-99.7488,B=-89.7488,C=-79.7488,D=-69.7488,E=-59.7488,F=-49.7488,G=-39.7488,H=-29.7488,I=-19.7488,J=-9.74876}
[19:05:41.134] {A=-99.1075,B=-89.1075,C=-79.1075,D=-69.1075,E=-59.1075,F=-49.1075,G=-39.1075,H=-29.1075,I=-19.1075,J=-9.10754}
[19:05:41.143] {A=-98.0756,B=-88.0756,C=-78.0756,D=-68.0756,E=-58.0756,F=-48.0756,G=-38.0756,H=-28.0756,I=-18.0756,J=-8.07558}
[19:05:41.154] {A=-96.657,B=-86.657,C=-76.657,D=-66.657,E=-56.657,F=-46.657,G=-36.657,H=-26.657,I=-16.657,J=-6.65695}
[19:05:41.157] {A=-94.8573,B=-84.8573,C=-74.8573,D=-64.8573,E=-54.8573,F=-44.8573,G=-34.8573,H=-24.8573,I=-14.8573,J=-4.85725}
[19:05:41.173] {A=-92.6836,B=-82.6836,C=-72.6836,D=-62.6836,E=-52.6836,F=-42.6836,G=-32.6836,H=-22.6836,I=-12.6836,J=-2.68357}
[19:05:41.180] {A=-90.1445,B=-80.1445,C=-70.1445,D=-60.1445,E=-50.1445,F=-40.1445,G=-30.1445,H=-20.1445,I=-10.1445,J=-0.144484}
[19:05:41.186] {A=-87.25,B=-77.25,C=-67.25,D=-57.25,E=-47.25,F=-37.25,G=-27.25,H=-17.25,I=-7.25,J=2.75}
[19:05:41.201] {A=-84.0115,B=-74.0115,C=-64.0115,D=-54.0115,E=-44.0115,F=-34.0115,G=-24.0115,H=-14.0115,I=-4.01152,J=5.98848}
[19:05:41.206] {A=-80.4418,B=-70.4418,C=-60.4418,D=-50.4418,E=-40.4418,F=-30.4418,G=-20.4418,H=-10.4418,I=-0.44183,J=9.55817}
[19:05:41.221] {A=-76.555,B=-66.555,C=-56.555,D=-46.555,E=-36.555,F=-26.555,G=-16.555,H=-6.55499,I=3.44501,J=13.445}
[19:05:41.227] {A=-72.3663,B=-62.3663,C=-52.3663,D=-42.3663,E=-32.3663,F=-22.3663,G=-12.3663,H=-2.36633,I=7.63367,J=17.6337}
[19:05:41.239] {A=-67.8924,B=-57.8924,C=-47.8924,D=-37.8924,E=-27.8924,F=-17.8924,G=-7.89236,H=2.10764,I=12.1076,J=22.1076}
[19:05:41.257] {A=-63.1507,B=-53.1507,C=-43.1507,D=-33.1507,E=-23.1507,F=-13.1507,G=-3.15073,H=6.84927,I=16.8493,J=26.8493}
[19:05:41.257] {A=-58.1601,B=-48.1601,C=-38.1601,D=-28.1601,E=-18.1601,F=-8.16012,G=1.83988,H=11.8399,I=21.8399,J=31.8399}
[19:05:41.269] {A=-52.9402,B=-42.9402,C=-32.9402,D=-22.9402,E=-12.9402,F=-2.94021,G=7.05979,H=17.0598,I=27.0598,J=37.0598}
[19:05:41.281] {A=-47.5116,B=-37.5116,C=-27.5116,D=-17.5116,E=-7.51158,F=2.48842,G=12.4884,H=22.4884,I=32.4884,J=42.4884}
[19:05:41.300] {A=-41.8956,B=-31.8956,C=-21.8956,D=-11.8956,E=-1.89564,F=8.10436,G=18.1044,H=28.1044,I=38.1044,J=48.1044}
[19:05:41.301] {A=-36.1145,B=-26.1145,C=-16.1145,D=-6.11452,E=3.88548,F=13.8855,G=23.8855,H=33.8855,I=43.8855,J=53.8855}
[19:05:41.309] {A=-30.191,B=-20.191,C=-10.191,D=-0.191012,E=9.80899,F=19.809,G=29.809,H=39.809,I=49.809,J=59.809}
[19:05:41.320] {A=-24.1485,B=-14.1485,C=-4.14848,D=5.85152,E=15.8515,F=25.8515,G=35.8515,H=45.8515,I=55.8515,J=65.8515}
[19:05:41.340] {A=-18.0107,B=-8.01074,C=1.98926,D=11.9893,E=21.9893,F=31.9893,G=41.9893,H=51.9893,I=61.9893,J=71.9893}
[19:05:41.340] {A=-11.802,B=-1.80199,C=8.19801,D=18.198,E=28.198,F=38.198,G=48.198,H=58.198,I=68.198,J=78.198}
[19:05:41.346] {A=-5.54672,B=4.45328,C=14.4533,D=24.4533,E=34.4533,F=44.4533,G=54.4533,H=64.4533,I=74.4533,J=84.4533}
[19:05:41.353] {A=0.73043,B=10.7304,C=20.7304,D=30.7304,E=40.7304,F=50.7304,G=60.7304,H=70.7304,I=80.7304,J=90.7304}
[19:05:41.370] {A=7.0047,B=17.0047,C=27.0047,D=37.0047,E=47.0047,F=57.0047,G=67.0047,H=77.0047,I=87.0047,J=97.0047}
[19:05:41.380] {A=13.2513,B=23.2513,C=33.2513,D=43.2513,E=53.2513,F=63.2513,G=73.2513,H=83.2513,I=93.2513,J=103.251}
[19:05:41.391] {A=19.4458,B=29.4458,C=39.4458,D=49.4458,E=59.4458,F=69.4458,G=79.4458,H=89.4458,I=99.4458,J=109.446}
[19:05:41.400] {A=25.5635,B=35.5635,C=45.5635,D=55.5635,E=65.5635,F=75.5635,G=85.5635,H=95.5635,I=105.563,J=115.563}
[19:05:41.412] {A=31.5804,B=41.5804,C=51.5804,D=61.5804,E=71.5804,F=81.5804,G=91.5804,H=101.58,I=111.58,J=121.58}
[19:05:41.416] {A=37.4729,B=47.4729,C=57.4729,D=67.4729,E=77.4729,F=87.4729,G=97.4729,H=107.473,I=117.473,J=127.473}
[19:05:41.433] {A=43.2176,B=53.2176,C=63.2176,D=73.2176,E=83.2176,F=93.2176,G=103.218,H=113.218,I=123.218,J=133.218}
[19:05:41.440] {A=48.7919,B=58.7919,C=68.7919,D=78.7919,E=88.7919,F=98.7919,G=108.792,H=118.792,I=128.792,J=138.792}
[19:05:41.448] {A=54.1739,B=64.1739,C=74.1739,D=84.1739,E=94.1739,F=104.174,G=114.174,H=124.174,I=134.174,J=144.174}
[19:05:41.464] {A=59.3423,B=69.3423,C=79.3423,D=89.3423,E=99.3423,F=109.342,G=119.342,H=129.342,I=139.342,J=149.342}
[19:05:41.465] {A=64.2767,B=74.2767,C=84.2767,D=94.2767,E=104.277,F=114.277,G=124.277,H=134.277,I=144.277,J=154.277}
[19:05:41.475] {A=68.9577,B=78.9577,C=88.9577,D=98.9577,E=108.958,F=118.958,G=128.958,H=138.958,I=148.958,J=158.958}
[19:05:41.486] {A=73.3668,B=83.3668,C=93.3668,D=103.367,E=113.367,F=123.367,G=133.367,H=143.367,I=153.367,J=163.367}
[19:05:41.494] {A=77.4867,B=87.4867,C=97.4867,D=107.487,E=117.487,F=127.487,G=137.487,H=147.487,I=157.487,J=167.487}
[19:05:41.505] {A=81.3011,B=91.3011,C=101.301,D=111.301,E=121.301,F=131.301,G=141.301,H=151.301,I=161.301,J=171.301}
[19:05:41.525] {A=84.7949,B=94.7949,C=104.795,D=114.795,E=124.795,F=134.795,G=144.795,H=154.795,I=164.795,J=174.795}
[19:05:41.525] {A=87.9545,B=97.9545,C=107.954,D=117.954,E=127.954,F=137.954,G=147.954,H=157.954,I=167.954,J=177.954}
[19:05:41.544] {A=90.7672,B=100.767,C=110.767,D=120.767,E=130.767,F=140.767,G=150.767,H=160.767,I=170.767,J=180.767}
[19:05:41.544] {A=93.2222,B=103.222,C=113.222,D=123.222,E=133.222,F=143.222,G=153.222,H=163.222,I=173.222,J=183.222}
[19:05:41.562] {A=95.3096,B=105.31,C=115.31,D=125.31,E=135.31,F=145.31,G=155.31,H=165.31,I=175.31,J=185.31}
[19:05:41.564] {A=97.0212,B=107.021,C=117.021,D=127.021,E=137.021,F=147.021,G=157.021,H=167.021,I=177.021,J=187.021}
[19:05:41.581] {A=98.3503,B=108.35,C=118.35,D=128.35,E=138.35,F=148.35,G=158.35,H=168.35,I=178.35,J=188.35}
[19:05:41.586] {A=99.2917,B=109.292,C=119.292,D=129.292,E=139.292,F=149.292,G=159.292,H=169.292,I=179.292,J=189.292}
[19:05:41.601] {A=99.8416,B=109.842,C=119.842,D=129.842,E=139.842,F=149.842,G=159.842,H=169.842,I=179.842,J=189.842}
[19:05:41.618] {A=99.9979,B=109.998,C=119.998,D=129.998,E=139.998,F=149.998,G=159.998,H=169.998,I=179.998,J=189.998}
[19:05:41.618] {A=99.7599,B=109.76,C=119.76,D=129.76,E=139.76,F=149.76,G=159.76,H=169.76,I=179.76,J=189.76}
[19:05:41.625] {A=99.1286,B=109.129,C=119.129,D=129.129,E=139.129,F=149.129,G=159.129,H=169.129,I=179.129,J=189.129}
[19:05:41.636] {A=98.1065,B=108.107,C=118.107,D=128.107,E=138.107,F=148.107,G=158.107,H=168.107,I=178.107,J=188.107}
[19:05:41.644] {A=96.6977,B=106.698,C=116.698,D=126.698,E=136.698,F=146.698,G=156.698,H=166.698,I=176.698,J=186.698}
[19:05:41.656] {A=94.9075,B=104.908,C=114.908,D=124.908,E=134.908,F=144.908,G=154.908,H=164.908,I=174.908,J=184.908}
[19:05:41.666] {A=92.7433,B=102.743,C=112.743,D=122.743,E=132.743,F=142.743,G=152.743,H=162.743,I=172.743,J=182.743}
[19:05:41.678] {A=90.2133,B=100.213,C=110.213,D=120.213,E=130.213,F=140.213,G=150.213,H=160.213,I=170.213,J=180.213}
[19:05:41.688] {A=87.3277,B=97.3277,C=107.328,D=117.328,E=127.328,F=137.328,G=147.328,H=157.328,I=167.328,J=177.328}
[19:05:41.698] {A=84.0978,B=94.0978,C=104.098,D=114.098,E=124.098,F=134.098,G=144.098,H=154.098,I=164.098,J=174.098}
[19:05:41.708] {A=80.5363,B=90.5363,C=100.536,D=110.536,E=120.536,F=130.536,G=140.536,H=150.536,I=160.536,J=170.536}
[19:05:41.720] {A=76.6574,B=86.6574,C=96.6574,D=106.657,E=116.657,F=126.657,G=136.657,H=146.657,I=156.657,J=166.657}
[19:05:41.740] {A=72.4762,B=82.4762,C=92.4762,D=102.476,E=112.476,F=122.476,G=132.476,H=142.476,I=152.476,J=162.476}
[19:05:41.740] {A=68.0092,B=78.0092,C=88.0092,D=98.0092,E=108.009,F=118.009,G=128.009,H=138.009,I=148.009,J=158.009}
[19:05:41.750] {A=63.2741,B=73.2741,C=83.2741,D=93.2741,E=103.274,F=113.274,G=123.274,H=133.274,I=143.274,J=153.274}
[19:05:41.762] {A=58.2896,B=68.2896,C=78.2896,D=88.2896,E=98.2896,F=108.29,G=118.29,H=128.29,I=138.29,J=148.29}
[19:05:41.765] {A=53.0753,B=63.0753,C=73.0753,D=83.0753,E=93.0753,F=103.075,G=113.075,H=123.075,I=133.075,J=143.075}
[19:05:41.783] {A=47.6517,B=57.6517,C=67.6517,D=77.6517,E=87.6517,F=97.6517,G=107.652,H=117.652,I=127.652,J=137.652}
[19:05:41.788] {A=42.0402,B=52.0402,C=62.0402,D=72.0402,E=82.0402,F=92.0402,G=102.04,H=112.04,I=122.04,J=132.04}
[19:05:41.807] {A=36.263,B=46.263,C=56.263,D=66.263,E=76.263,F=86.263,G=96.263,H=106.263,I=116.263,J=126.263}
[19:05:41.807] {A=30.3428,B=40.3428,C=50.3428,D=60.3428,E=70.3428,F=80.3428,G=90.3428,H=100.343,I=110.343,J=120.343}
[19:05:41.817] {A=24.303,B=34.303,C=44.303,D=54.303,E=64.303,F=74.303,G=84.303,H=94.303,I=104.303,J=114.303}
[19:05:41.829] {A=18.1674,B=28.1674,C=38.1674,D=48.1674,E=58.1674,F=68.1674,G=78.1674,H=88.1674,I=98.1674,J=108.167}
[19:05:41.846] {A=11.9601,B=21.9601,C=31.9601,D=41.9601,E=51.9601,F=61.9601,G=71.9601,H=81.9601,I=91.9601,J=101.96}
[19:05:41.847] {A=5.70573,B=15.7057,C=25.7057,D=35.7057,E=45.7057,F=55.7057,G=65.7057,H=75.7057,I=85.7057,J=95.7057}
[19:05:41.857] {A=-0.571168,B=9.42883,C=19.4288,D=29.4288,E=39.4288,F=49.4288,G=59.4288,H=69.4288,I=79.4288,J=89.4288}
[19:05:41.868] {A=-6.84581,B=3.15419,C=13.1542,D=23.1542,E=33.1542,F=43.1542,G=53.1542,H=63.1542,I=73.1542,J=83.1542}
[19:05:41.886] {A=-13.0935,B=-3.09347,C=6.90653,D=16.9065,E=26.9065,F=36.9065,G=46.9065,H=56.9065,I=66.9065,J=76.9065}
[19:05:41.886] {A=-19.2895,B=-9.2895,C=0.710499,D=10.7105,E=20.7105,F=30.7105,G=40.7105,H=50.7105,I=60.7105,J=70.7105}
[19:05:41.906] {A=-25.4095,B=-15.4095,C=-5.40948,D=4.59052,E=14.5905,F=24.5905,G=34.5905,H=44.5905,I=54.5905,J=64.5905}
[19:05:41.907] {A=-31.4293,B=-21.4293,C=-11.4293,D=-1.42929,E=8.57071,F=18.5707,G=28.5707,H=38.5707,I=48.5707,J=58.5707}
[19:05:41.924] {A=-37.3252,B=-27.3252,C=-17.3252,D=-7.32518,E=2.67482,F=12.6748,G=22.6748,H=32.6748,I=42.6748,J=52.6748}
[19:05:41.924] {A=-43.0739,B=-33.0739,C=-23.0739,D=-13.0739,E=-3.07392,F=6.92608,G=16.9261,H=26.9261,I=36.9261,J=46.9261}
[19:05:41.943] {A=-48.6528,B=-38.6528,C=-28.6528,D=-18.6528,E=-8.65284,F=1.34716,G=11.3472,H=21.3472,I=31.3472,J=41.3472}
[19:05:41.944] {A=-54.0399,B=-44.0399,C=-34.0399,D=-24.0399,E=-14.0399,F=-4.03994,G=5.96006,H=15.9601,I=25.9601,J=35.9601}
[19:05:41.964] {A=-59.214,B=-49.214,C=-39.214,D=-29.214,E=-19.214,F=-9.21399,G=0.786014,H=10.786,I=20.786,J=30.786}
[19:05:41.964] {A=-64.1546,B=-54.1546,C=-44.1546,D=-34.1546,E=-24.1546,F=-14.1546,G=-4.15458,H=5.84542,I=15.8454,J=25.8454}
[19:05:41.982] {A=-68.8422,B=-58.8422,C=-48.8422,D=-38.8422,E=-28.8422,F=-18.8422,G=-8.84224,H=1.15776,I=11.1578,J=21.1578}
[19:05:41.987] {A=-73.2585,B=-63.2585,C=-53.2585,D=-43.2585,E=-33.2585,F=-23.2585,G=-13.2585,H=-3.25849,I=6.74151,J=16.7415}
[19:05:41.999] {A=-77.3859,B=-67.3859,C=-57.3859,D=-47.3859,E=-37.3859,F=-27.3859,G=-17.3859,H=-7.38591,I=2.61409,J=12.6141}
[19:05:42.011] {A=-81.2082,B=-71.2082,C=-61.2082,D=-51.2082,E=-41.2082,F=-31.2082,G=-21.2082,H=-11.2082,I=-1.20823,J=8.79177}
[19:05:42.014] {A=-84.7104,B=-74.7104,C=-64.7104,D=-54.7104,E=-44.7104,F=-34.7104,G=-24.7104,H=-14.7104,I=-4.71039,J=5.28961}
[19:05:42.032] {A=-87.8786,B=-77.8786,C=-67.8786,D=-57.8786,E=-47.8786,F=-37.8786,G=-27.8786,H=-17.8786,I=-7.87857,J=2.12143}
[19:05:42.037] {A=-90.7003,B=-80.7003,C=-70.7003,D=-60.7003,E=-50.7003,F=-40.7003,G=-30.7003,H=-20.7003,I=-10.7003,J=-0.70029}
[19:05:42.056] {A=-93.1644,B=-83.1644,C=-73.1644,D=-63.1644,E=-53.1644,F=-43.1644,G=-33.1644,H=-23.1644,I=-13.1644,J=-3.16442}
[19:05:42.056] {A=-95.2612,B=-85.2612,C=-75.2612,D=-65.2612,E=-55.2612,F=-45.2612,G=-35.2612,H=-25.2612,I=-15.2612,J=-5.26124}
[19:05:42.066] {A=-96.9825,B=-86.9825,C=-76.9825,D=-66.9825,E=-56.9825,F=-46.9825,G=-36.9825,H=-26.9825,I=-16.9825,J=-6.98249}
[19:05:42.078] {A=-98.3214,B=-88.3214,C=-78.3214,D=-68.3214,E=-58.3214,F=-48.3214,G=-38.3214,H=-28.3214,I=-18.3214,J=-8.32139}
[19:05:42.095] {A=-99.2726,B=-89.2726,C=-79.2726,D=-69.2726,E=-59.2726,F=-49.2726,G=-39.2726,H=-29.2726,I=-19.2726,J=-9.27264}
[19:05:42.096] {A=-99.8325,B=-89.8325,C=-79.8325,D=-69.8325,E=-59.8325,F=-49.8325,G=-39.8325,H=-29.8325,I=-19.8325,J=-9.83252}
[19:05:42.107] {A=-99.9988,B=-89.9988,C=-79.9988,D=-69.9988,E=-59.9988,F=-49.9988,G=-39.9988,H=-29.9988,I=-19.9988,J=-9.99879}
[19:05:42.119] {A=-99.7708,B=-89.7708,C=-79.7708,D=-69.7708,E=-59.7708,F=-49.7708,G=-39.7708,H=-29.7708,I=-19.7708,J=-9.77082}
[19:05:42.127] {A=-99.1495,B=-89.1495,C=-79.1495,D=-69.1495,E=-59.1495,F=-49.1495,G=-39.1495,H=-29.1495,I=-19.1495,J=-9.1495}
[19:05:42.138] {A=-98.1373,B=-88.1373,C=-78.1373,D=-68.1373,E=-58.1373,F=-48.1373,G=-38.1373,H=-28.1373,I=-18.1373,J=-8.13727}
[19:05:42.156] {A=-96.7381,B=-86.7381,C=-76.7381,D=-66.7381,E=-56.7381,F=-46.7381,G=-36.7381,H=-26.7381,I=-16.7381,J=-6.73813}
[19:05:42.156] {A=-94.9576,B=-84.9576,C=-74.9576,D=-64.9576,E=-54.9576,F=-44.9576,G=-34.9576,H=-24.9576,I=-14.9576,J=-4.9576}
[19:05:42.165] {A=-92.8027,B=-82.8027,C=-72.8027,D=-62.8027,E=-52.8027,F=-42.8027,G=-32.8027,H=-22.8027,I=-12.8027,J=-2.8027}
[19:05:42.179] {A=-90.2819,B=-80.2819,C=-70.2819,D=-60.2819,E=-50.2819,F=-40.2819,G=-30.2819,H=-20.2819,I=-10.2819,J=-0.281916}
[19:05:42.188] {A=-87.4052,B=-77.4052,C=-67.4052,D=-57.4052,E=-47.4052,F=-37.4052,G=-27.4052,H=-17.4052,I=-7.40519,J=2.59481}
[19:05:42.200] {A=-84.1839,B=-74.1839,C=-64.1839,D=-54.1839,E=-44.1839,F=-34.1839,G=-24.1839,H=-14.1839,I=-4.18387,J=5.81613}
[19:05:42.208] {A=-80.6306,B=-70.6306,C=-60.6306,D=-50.6306,E=-40.6306,F=-30.6306,G=-20.6306,H=-10.6306,I=-0.630649,J=9.36935}
[19:05:42.220] {A=-76.7595,B=-66.7595,C=-56.7595,D=-46.7595,E=-36.7595,F=-26.7595,G=-16.7595,H=-6.75954,I=3.24046,J=13.2405}
[19:05:42.237] {A=-72.5858,B=-62.5858,C=-52.5858,D=-42.5858,E=-32.5858,F=-22.5858,G=-12.5858,H=-2.5858,I=7.4142,J=17.4142}
[19:05:42.238] {A=-68.1259,B=-58.1259,C=-48.1259,D=-38.1259,E=-28.1259,F=-18.1259,G=-8.12589,H=1.87411,I=11.8741,J=21.8741}
[19:05:42.249] {A=-63.3974,B=-53.3974,C=-43.3974,D=-33.3974,E=-23.3974,F=-13.3974,G=-3.39739,H=6.60261,I=16.6026,J=26.6026}
[19:05:42.261] {A=-58.4189,B=-48.4189,C=-38.4189,D=-28.4189,E=-18.4189,F=-8.41894,G=1.58106,H=11.5811,I=21.5811,J=31.5811}
[19:05:42.270] {A=-53.2102,B=-43.2102,C=-33.2102,D=-23.2102,E=-13.2102,F=-3.21017,G=6.78983,H=16.7898,I=26.7898,J=36.7898}
[19:05:42.280] {A=-47.7916,B=-37.7916,C=-27.7916,D=-17.7916,E=-7.79162,F=2.20838,G=12.2084,H=22.2084,I=32.2084,J=42.2084}
[19:05:42.289] {A=-42.1847,B=-32.1847,C=-22.1847,D=-12.1847,E=-2.18465,F=7.81535,G=17.8153,H=27.8153,I=37.8153,J=47.8153}
